member_order,disjoint_residue
0-1-2,1.1407339479097511
0-2-1,1.1407339479097507
1-0-2,1.1407339479097511
1-2-0,1.1407339479097507
2-0-1,1.1407339479097507
2-1-0,1.1407339479097507
